roc threshold = 5.774160e-02 ; pd = 8.361582e-01 ; fa = 80    ; nMatches = 148   ; tp = 130   ; fp = 80    ; tn = 0     ; fn = 0     ; matched = 130   ; relevant = 210   ; nTrueTracks = 177   ; fa-norm = 8.000000e+01
roc threshold = 6.377870e-02 ; pd = 8.361582e-01 ; fa = 79    ; nMatches = 148   ; tp = 130   ; fp = 79    ; tn = 1     ; fn = 0     ; matched = 130   ; relevant = 209   ; nTrueTracks = 177   ; fa-norm = 7.900000e+01
roc threshold = 6.699780e-02 ; pd = 8.361582e-01 ; fa = 79    ; nMatches = 148   ; tp = 129   ; fp = 79    ; tn = 1     ; fn = 1     ; matched = 130   ; relevant = 208   ; nTrueTracks = 177   ; fa-norm = 7.900000e+01
roc threshold = 7.120460e-02 ; pd = 8.305085e-01 ; fa = 79    ; nMatches = 147   ; tp = 128   ; fp = 79    ; tn = 1     ; fn = 2     ; matched = 130   ; relevant = 207   ; nTrueTracks = 177   ; fa-norm = 7.900000e+01
roc threshold = 7.219850e-02 ; pd = 8.305085e-01 ; fa = 78    ; nMatches = 147   ; tp = 128   ; fp = 78    ; tn = 2     ; fn = 2     ; matched = 130   ; relevant = 206   ; nTrueTracks = 177   ; fa-norm = 7.800000e+01
roc threshold = 7.230510e-02 ; pd = 8.305085e-01 ; fa = 77    ; nMatches = 147   ; tp = 128   ; fp = 77    ; tn = 3     ; fn = 2     ; matched = 130   ; relevant = 205   ; nTrueTracks = 177   ; fa-norm = 7.700000e+01
roc threshold = 8.002520e-02 ; pd = 8.305085e-01 ; fa = 76    ; nMatches = 147   ; tp = 128   ; fp = 76    ; tn = 4     ; fn = 2     ; matched = 130   ; relevant = 204   ; nTrueTracks = 177   ; fa-norm = 7.600000e+01
roc threshold = 9.623890e-02 ; pd = 8.305085e-01 ; fa = 75    ; nMatches = 147   ; tp = 128   ; fp = 75    ; tn = 5     ; fn = 2     ; matched = 130   ; relevant = 203   ; nTrueTracks = 177   ; fa-norm = 7.500000e+01
roc threshold = 9.634420e-02 ; pd = 8.305085e-01 ; fa = 75    ; nMatches = 147   ; tp = 127   ; fp = 75    ; tn = 5     ; fn = 3     ; matched = 130   ; relevant = 202   ; nTrueTracks = 177   ; fa-norm = 7.500000e+01
roc threshold = 1.020640e-01 ; pd = 8.305085e-01 ; fa = 74    ; nMatches = 147   ; tp = 127   ; fp = 74    ; tn = 6     ; fn = 3     ; matched = 130   ; relevant = 201   ; nTrueTracks = 177   ; fa-norm = 7.400000e+01
roc threshold = 1.196600e-01 ; pd = 8.305085e-01 ; fa = 73    ; nMatches = 147   ; tp = 127   ; fp = 73    ; tn = 7     ; fn = 3     ; matched = 130   ; relevant = 200   ; nTrueTracks = 177   ; fa-norm = 7.300000e+01
roc threshold = 1.205680e-01 ; pd = 8.305085e-01 ; fa = 72    ; nMatches = 147   ; tp = 127   ; fp = 72    ; tn = 8     ; fn = 3     ; matched = 130   ; relevant = 199   ; nTrueTracks = 177   ; fa-norm = 7.200000e+01
roc threshold = 1.313300e-01 ; pd = 8.305085e-01 ; fa = 71    ; nMatches = 147   ; tp = 127   ; fp = 71    ; tn = 9     ; fn = 3     ; matched = 130   ; relevant = 198   ; nTrueTracks = 177   ; fa-norm = 7.100000e+01
