roc threshold = 5.126530e-02 ; pd = 9.405941e-01 ; fa = 57    ; nMatches = 95    ; tp = 98    ; fp = 57    ; tn = 0     ; fn = 0     ; matched = 98    ; relevant = 155   ; nTrueTracks = 101   ; fa-norm = 5.700000e+01
roc threshold = 5.768220e-02 ; pd = 9.405941e-01 ; fa = 56    ; nMatches = 95    ; tp = 98    ; fp = 56    ; tn = 1     ; fn = 0     ; matched = 98    ; relevant = 154   ; nTrueTracks = 101   ; fa-norm = 5.600000e+01
roc threshold = 5.849750e-02 ; pd = 9.405941e-01 ; fa = 56    ; nMatches = 95    ; tp = 97    ; fp = 56    ; tn = 1     ; fn = 1     ; matched = 98    ; relevant = 153   ; nTrueTracks = 101   ; fa-norm = 5.600000e+01
roc threshold = 6.280270e-02 ; pd = 9.405941e-01 ; fa = 56    ; nMatches = 95    ; tp = 96    ; fp = 56    ; tn = 1     ; fn = 2     ; matched = 98    ; relevant = 152   ; nTrueTracks = 101   ; fa-norm = 5.600000e+01
roc threshold = 7.107330e-02 ; pd = 9.405941e-01 ; fa = 55    ; nMatches = 95    ; tp = 96    ; fp = 55    ; tn = 2     ; fn = 2     ; matched = 98    ; relevant = 151   ; nTrueTracks = 101   ; fa-norm = 5.500000e+01
roc threshold = 7.108680e-02 ; pd = 9.405941e-01 ; fa = 54    ; nMatches = 95    ; tp = 96    ; fp = 54    ; tn = 3     ; fn = 2     ; matched = 98    ; relevant = 150   ; nTrueTracks = 101   ; fa-norm = 5.400000e+01
roc threshold = 7.867910e-02 ; pd = 9.405941e-01 ; fa = 54    ; nMatches = 95    ; tp = 95    ; fp = 54    ; tn = 3     ; fn = 3     ; matched = 98    ; relevant = 149   ; nTrueTracks = 101   ; fa-norm = 5.400000e+01
roc threshold = 9.491590e-02 ; pd = 9.405941e-01 ; fa = 54    ; nMatches = 95    ; tp = 94    ; fp = 54    ; tn = 3     ; fn = 4     ; matched = 98    ; relevant = 148   ; nTrueTracks = 101   ; fa-norm = 5.400000e+01
roc threshold = 1.300030e-01 ; pd = 9.405941e-01 ; fa = 54    ; nMatches = 95    ; tp = 93    ; fp = 54    ; tn = 3     ; fn = 5     ; matched = 98    ; relevant = 147   ; nTrueTracks = 101   ; fa-norm = 5.400000e+01
roc threshold = 1.426130e-01 ; pd = 9.405941e-01 ; fa = 53    ; nMatches = 95    ; tp = 93    ; fp = 53    ; tn = 4     ; fn = 5     ; matched = 98    ; relevant = 146   ; nTrueTracks = 101   ; fa-norm = 5.300000e+01
roc threshold = 1.451340e-01 ; pd = 9.405941e-01 ; fa = 52    ; nMatches = 95    ; tp = 93    ; fp = 52    ; tn = 5     ; fn = 5     ; matched = 98    ; relevant = 145   ; nTrueTracks = 101   ; fa-norm = 5.200000e+01
roc threshold = 1.478470e-01 ; pd = 9.405941e-01 ; fa = 51    ; nMatches = 95    ; tp = 93    ; fp = 51    ; tn = 6     ; fn = 5     ; matched = 98    ; relevant = 144   ; nTrueTracks = 101   ; fa-norm = 5.100000e+01
roc threshold = 1.696330e-01 ; pd = 9.405941e-01 ; fa = 50    ; nMatches = 95    ; tp = 93    ; fp = 50    ; tn = 7     ; fn = 5     ; matched = 98    ; relevant = 143   ; nTrueTracks = 101   ; fa-norm = 5.000000e+01
roc threshold = 1.744180e-01 ; pd = 9.405941e-01 ; fa = 49    ; nMatches = 95    ; tp = 93    ; fp = 49    ; tn = 8     ; fn = 5     ; matched = 98    ; relevant = 142   ; nTrueTracks = 101   ; fa-norm = 4.900000e+01
roc threshold = 1.835340e-01 ; pd = 9.405941e-01 ; fa = 49    ; nMatches = 95    ; tp = 92    ; fp = 49    ; tn = 8     ; fn = 6     ; matched = 98    ; relevant = 141   ; nTrueTracks = 101   ; fa-norm = 4.900000e+01
roc threshold = 1.837440e-01 ; pd = 9.405941e-01 ; fa = 49    ; nMatches = 95    ; tp = 91    ; fp = 49    ; tn = 8     ; fn = 7     ; matched = 98    ; relevant = 140   ; nTrueTracks = 101   ; fa-norm = 4.900000e+01
roc threshold = 2.118510e-01 ; pd = 9.405941e-01 ; fa = 48    ; nMatches = 95    ; tp = 91    ; fp = 48    ; tn = 9     ; fn = 7     ; matched = 98    ; relevant = 139   ; nTrueTracks = 101   ; fa-norm = 4.800000e+01
roc threshold = 2.472030e-01 ; pd = 9.405941e-01 ; fa = 47    ; nMatches = 95    ; tp = 91    ; fp = 47    ; tn = 10    ; fn = 7     ; matched = 98    ; relevant = 138   ; nTrueTracks = 101   ; fa-norm = 4.700000e+01
roc threshold = 3.017590e-01 ; pd = 9.405941e-01 ; fa = 46    ; nMatches = 95    ; tp = 91    ; fp = 46    ; tn = 11    ; fn = 7     ; matched = 98    ; relevant = 137   ; nTrueTracks = 101   ; fa-norm = 4.600000e+01
