roc threshold = 5.003020e-02 ; pd = 9.902913e-01 ; fa = 1     ; nMatches = 102   ; tp = 85    ; fp = 1     ; tn = 0     ; fn = 0     ; matched = 85    ; relevant = 86    ; nTrueTracks = 103   ; fa-norm = 1.000000e+00
roc threshold = 5.174080e-02 ; pd = 9.902913e-01 ; fa = 1     ; nMatches = 102   ; tp = 84    ; fp = 1     ; tn = 0     ; fn = 1     ; matched = 85    ; relevant = 85    ; nTrueTracks = 103   ; fa-norm = 1.000000e+00
roc threshold = 6.614550e-02 ; pd = 9.902913e-01 ; fa = 1     ; nMatches = 102   ; tp = 83    ; fp = 1     ; tn = 0     ; fn = 2     ; matched = 85    ; relevant = 84    ; nTrueTracks = 103   ; fa-norm = 1.000000e+00
roc threshold = 6.701650e-02 ; pd = 9.902913e-01 ; fa = 1     ; nMatches = 102   ; tp = 82    ; fp = 1     ; tn = 0     ; fn = 3     ; matched = 85    ; relevant = 83    ; nTrueTracks = 103   ; fa-norm = 1.000000e+00
roc threshold = 8.302260e-02 ; pd = 9.902913e-01 ; fa = 1     ; nMatches = 102   ; tp = 81    ; fp = 1     ; tn = 0     ; fn = 4     ; matched = 85    ; relevant = 82    ; nTrueTracks = 103   ; fa-norm = 1.000000e+00
roc threshold = 9.066270e-02 ; pd = 9.902913e-01 ; fa = 1     ; nMatches = 102   ; tp = 80    ; fp = 1     ; tn = 0     ; fn = 5     ; matched = 85    ; relevant = 81    ; nTrueTracks = 103   ; fa-norm = 1.000000e+00
roc threshold = 1.056730e-01 ; pd = 9.902913e-01 ; fa = 1     ; nMatches = 102   ; tp = 79    ; fp = 1     ; tn = 0     ; fn = 6     ; matched = 85    ; relevant = 80    ; nTrueTracks = 103   ; fa-norm = 1.000000e+00
roc threshold = 1.496810e-01 ; pd = 9.902913e-01 ; fa = 1     ; nMatches = 102   ; tp = 78    ; fp = 1     ; tn = 0     ; fn = 7     ; matched = 85    ; relevant = 79    ; nTrueTracks = 103   ; fa-norm = 1.000000e+00
roc threshold = 1.558160e-01 ; pd = 9.902913e-01 ; fa = 1     ; nMatches = 102   ; tp = 77    ; fp = 1     ; tn = 0     ; fn = 8     ; matched = 85    ; relevant = 78    ; nTrueTracks = 103   ; fa-norm = 1.000000e+00
roc threshold = 2.071670e-01 ; pd = 9.902913e-01 ; fa = 1     ; nMatches = 102   ; tp = 76    ; fp = 1     ; tn = 0     ; fn = 9     ; matched = 85    ; relevant = 77    ; nTrueTracks = 103   ; fa-norm = 1.000000e+00
roc threshold = 2.457760e-01 ; pd = 9.902913e-01 ; fa = 1     ; nMatches = 102   ; tp = 75    ; fp = 1     ; tn = 0     ; fn = 10    ; matched = 85    ; relevant = 76    ; nTrueTracks = 103   ; fa-norm = 1.000000e+00
roc threshold = 3.070340e-01 ; pd = 9.902913e-01 ; fa = 0     ; nMatches = 102   ; tp = 75    ; fp = 0     ; tn = 1     ; fn = 10    ; matched = 85    ; relevant = 75    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 3.228000e-01 ; pd = 9.805825e-01 ; fa = 0     ; nMatches = 101   ; tp = 74    ; fp = 0     ; tn = 1     ; fn = 11    ; matched = 85    ; relevant = 74    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 3.610390e-01 ; pd = 9.805825e-01 ; fa = 0     ; nMatches = 101   ; tp = 73    ; fp = 0     ; tn = 1     ; fn = 12    ; matched = 85    ; relevant = 73    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 4.924210e-01 ; pd = 9.805825e-01 ; fa = 0     ; nMatches = 101   ; tp = 72    ; fp = 0     ; tn = 1     ; fn = 13    ; matched = 85    ; relevant = 72    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 4.924970e-01 ; pd = 9.805825e-01 ; fa = 0     ; nMatches = 101   ; tp = 71    ; fp = 0     ; tn = 1     ; fn = 14    ; matched = 85    ; relevant = 71    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 6.325480e-01 ; pd = 9.805825e-01 ; fa = 0     ; nMatches = 101   ; tp = 70    ; fp = 0     ; tn = 1     ; fn = 15    ; matched = 85    ; relevant = 70    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 7.016780e-01 ; pd = 9.708738e-01 ; fa = 0     ; nMatches = 100   ; tp = 69    ; fp = 0     ; tn = 1     ; fn = 16    ; matched = 85    ; relevant = 69    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 7.157290e-01 ; pd = 9.611650e-01 ; fa = 0     ; nMatches = 99    ; tp = 68    ; fp = 0     ; tn = 1     ; fn = 17    ; matched = 85    ; relevant = 68    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 7.556210e-01 ; pd = 9.611650e-01 ; fa = 0     ; nMatches = 99    ; tp = 67    ; fp = 0     ; tn = 1     ; fn = 18    ; matched = 85    ; relevant = 67    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 7.764340e-01 ; pd = 9.611650e-01 ; fa = 0     ; nMatches = 99    ; tp = 66    ; fp = 0     ; tn = 1     ; fn = 19    ; matched = 85    ; relevant = 66    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 7.969370e-01 ; pd = 9.223301e-01 ; fa = 0     ; nMatches = 95    ; tp = 65    ; fp = 0     ; tn = 1     ; fn = 20    ; matched = 85    ; relevant = 65    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 8.036930e-01 ; pd = 9.223301e-01 ; fa = 0     ; nMatches = 95    ; tp = 64    ; fp = 0     ; tn = 1     ; fn = 21    ; matched = 85    ; relevant = 64    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 8.640830e-01 ; pd = 9.223301e-01 ; fa = 0     ; nMatches = 95    ; tp = 63    ; fp = 0     ; tn = 1     ; fn = 22    ; matched = 85    ; relevant = 63    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 8.930070e-01 ; pd = 9.029126e-01 ; fa = 0     ; nMatches = 93    ; tp = 62    ; fp = 0     ; tn = 1     ; fn = 23    ; matched = 85    ; relevant = 62    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.204400e-01 ; pd = 9.029126e-01 ; fa = 0     ; nMatches = 93    ; tp = 61    ; fp = 0     ; tn = 1     ; fn = 24    ; matched = 85    ; relevant = 61    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.246750e-01 ; pd = 9.029126e-01 ; fa = 0     ; nMatches = 93    ; tp = 60    ; fp = 0     ; tn = 1     ; fn = 25    ; matched = 85    ; relevant = 60    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.410620e-01 ; pd = 8.932039e-01 ; fa = 0     ; nMatches = 92    ; tp = 59    ; fp = 0     ; tn = 1     ; fn = 26    ; matched = 85    ; relevant = 59    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.499230e-01 ; pd = 8.640777e-01 ; fa = 0     ; nMatches = 89    ; tp = 58    ; fp = 0     ; tn = 1     ; fn = 27    ; matched = 85    ; relevant = 58    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.518530e-01 ; pd = 8.640777e-01 ; fa = 0     ; nMatches = 89    ; tp = 57    ; fp = 0     ; tn = 1     ; fn = 28    ; matched = 85    ; relevant = 57    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.634260e-01 ; pd = 8.640777e-01 ; fa = 0     ; nMatches = 89    ; tp = 56    ; fp = 0     ; tn = 1     ; fn = 29    ; matched = 85    ; relevant = 56    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.664210e-01 ; pd = 8.640777e-01 ; fa = 0     ; nMatches = 89    ; tp = 55    ; fp = 0     ; tn = 1     ; fn = 30    ; matched = 85    ; relevant = 55    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.675090e-01 ; pd = 8.446602e-01 ; fa = 0     ; nMatches = 87    ; tp = 54    ; fp = 0     ; tn = 1     ; fn = 31    ; matched = 85    ; relevant = 54    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.682080e-01 ; pd = 8.155340e-01 ; fa = 0     ; nMatches = 84    ; tp = 53    ; fp = 0     ; tn = 1     ; fn = 32    ; matched = 85    ; relevant = 53    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.717370e-01 ; pd = 7.572816e-01 ; fa = 0     ; nMatches = 78    ; tp = 52    ; fp = 0     ; tn = 1     ; fn = 33    ; matched = 85    ; relevant = 52    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.764430e-01 ; pd = 7.572816e-01 ; fa = 0     ; nMatches = 78    ; tp = 51    ; fp = 0     ; tn = 1     ; fn = 34    ; matched = 85    ; relevant = 51    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.811110e-01 ; pd = 7.087379e-01 ; fa = 0     ; nMatches = 73    ; tp = 50    ; fp = 0     ; tn = 1     ; fn = 35    ; matched = 85    ; relevant = 50    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.814870e-01 ; pd = 6.990291e-01 ; fa = 0     ; nMatches = 72    ; tp = 49    ; fp = 0     ; tn = 1     ; fn = 36    ; matched = 85    ; relevant = 49    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.862470e-01 ; pd = 6.893204e-01 ; fa = 0     ; nMatches = 71    ; tp = 48    ; fp = 0     ; tn = 1     ; fn = 37    ; matched = 85    ; relevant = 48    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.898680e-01 ; pd = 6.601942e-01 ; fa = 0     ; nMatches = 68    ; tp = 47    ; fp = 0     ; tn = 1     ; fn = 38    ; matched = 85    ; relevant = 47    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.926700e-01 ; pd = 6.310680e-01 ; fa = 0     ; nMatches = 65    ; tp = 46    ; fp = 0     ; tn = 1     ; fn = 39    ; matched = 85    ; relevant = 46    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.927120e-01 ; pd = 6.116505e-01 ; fa = 0     ; nMatches = 63    ; tp = 45    ; fp = 0     ; tn = 1     ; fn = 40    ; matched = 85    ; relevant = 45    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.937650e-01 ; pd = 6.019417e-01 ; fa = 0     ; nMatches = 62    ; tp = 44    ; fp = 0     ; tn = 1     ; fn = 41    ; matched = 85    ; relevant = 44    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.979420e-01 ; pd = 5.631068e-01 ; fa = 0     ; nMatches = 58    ; tp = 43    ; fp = 0     ; tn = 1     ; fn = 42    ; matched = 85    ; relevant = 43    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.992860e-01 ; pd = 5.631068e-01 ; fa = 0     ; nMatches = 58    ; tp = 42    ; fp = 0     ; tn = 1     ; fn = 43    ; matched = 85    ; relevant = 42    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.996490e-01 ; pd = 5.339806e-01 ; fa = 0     ; nMatches = 55    ; tp = 41    ; fp = 0     ; tn = 1     ; fn = 44    ; matched = 85    ; relevant = 41    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.996940e-01 ; pd = 5.339806e-01 ; fa = 0     ; nMatches = 55    ; tp = 40    ; fp = 0     ; tn = 1     ; fn = 45    ; matched = 85    ; relevant = 40    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.998420e-01 ; pd = 5.339806e-01 ; fa = 0     ; nMatches = 55    ; tp = 39    ; fp = 0     ; tn = 1     ; fn = 46    ; matched = 85    ; relevant = 39    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.998580e-01 ; pd = 5.242718e-01 ; fa = 0     ; nMatches = 54    ; tp = 38    ; fp = 0     ; tn = 1     ; fn = 47    ; matched = 85    ; relevant = 38    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.998700e-01 ; pd = 5.145631e-01 ; fa = 0     ; nMatches = 53    ; tp = 37    ; fp = 0     ; tn = 1     ; fn = 48    ; matched = 85    ; relevant = 37    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.998910e-01 ; pd = 4.854369e-01 ; fa = 0     ; nMatches = 50    ; tp = 36    ; fp = 0     ; tn = 1     ; fn = 49    ; matched = 85    ; relevant = 36    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.999070e-01 ; pd = 4.854369e-01 ; fa = 0     ; nMatches = 50    ; tp = 35    ; fp = 0     ; tn = 1     ; fn = 50    ; matched = 85    ; relevant = 35    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.999320e-01 ; pd = 4.757282e-01 ; fa = 0     ; nMatches = 49    ; tp = 34    ; fp = 0     ; tn = 1     ; fn = 51    ; matched = 85    ; relevant = 34    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.999740e-01 ; pd = 4.660194e-01 ; fa = 0     ; nMatches = 48    ; tp = 33    ; fp = 0     ; tn = 1     ; fn = 52    ; matched = 85    ; relevant = 33    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.999810e-01 ; pd = 4.563107e-01 ; fa = 0     ; nMatches = 47    ; tp = 31    ; fp = 0     ; tn = 1     ; fn = 54    ; matched = 85    ; relevant = 31    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.999830e-01 ; pd = 4.466019e-01 ; fa = 0     ; nMatches = 46    ; tp = 30    ; fp = 0     ; tn = 1     ; fn = 55    ; matched = 85    ; relevant = 30    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.999840e-01 ; pd = 4.174757e-01 ; fa = 0     ; nMatches = 43    ; tp = 28    ; fp = 0     ; tn = 1     ; fn = 57    ; matched = 85    ; relevant = 28    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.999870e-01 ; pd = 3.883495e-01 ; fa = 0     ; nMatches = 40    ; tp = 27    ; fp = 0     ; tn = 1     ; fn = 58    ; matched = 85    ; relevant = 27    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.999890e-01 ; pd = 3.883495e-01 ; fa = 0     ; nMatches = 40    ; tp = 25    ; fp = 0     ; tn = 1     ; fn = 60    ; matched = 85    ; relevant = 25    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.999940e-01 ; pd = 3.883495e-01 ; fa = 0     ; nMatches = 40    ; tp = 24    ; fp = 0     ; tn = 1     ; fn = 61    ; matched = 85    ; relevant = 24    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.999960e-01 ; pd = 3.883495e-01 ; fa = 0     ; nMatches = 40    ; tp = 23    ; fp = 0     ; tn = 1     ; fn = 62    ; matched = 85    ; relevant = 23    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.999970e-01 ; pd = 3.883495e-01 ; fa = 0     ; nMatches = 40    ; tp = 22    ; fp = 0     ; tn = 1     ; fn = 63    ; matched = 85    ; relevant = 22    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.999980e-01 ; pd = 3.689320e-01 ; fa = 0     ; nMatches = 38    ; tp = 19    ; fp = 0     ; tn = 1     ; fn = 66    ; matched = 85    ; relevant = 19    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.999990e-01 ; pd = 2.815534e-01 ; fa = 0     ; nMatches = 29    ; tp = 13    ; fp = 0     ; tn = 1     ; fn = 72    ; matched = 85    ; relevant = 13    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 1.000000e+00 ; pd = 6.796117e-02 ; fa = 0     ; nMatches = 7     ; tp = 3     ; fp = 0     ; tn = 1     ; fn = 82    ; matched = 85    ; relevant = 3     ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 1.001000e+00 ; pd = 0.000000e+00 ; fa = 0     ; nMatches = 0     ; tp = 0     ; fp = 0     ; tn = 1     ; fn = 85    ; matched = 85    ; relevant = 0     ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
