roc threshold = 5.003020e-02 ; pd = 8.436445e-01 ; fa = 190   ; nMatches = 750   ; tp = 643   ; fp = 190   ; tn = 0     ; fn = 0     ; matched = 643   ; relevant = 833   ; nTrueTracks = 889   ; fa-norm = 1.900000e+02
roc threshold = 5.126530e-02 ; pd = 8.436445e-01 ; fa = 190   ; nMatches = 750   ; tp = 642   ; fp = 190   ; tn = 0     ; fn = 1     ; matched = 643   ; relevant = 832   ; nTrueTracks = 889   ; fa-norm = 1.900000e+02
roc threshold = 5.174080e-02 ; pd = 8.436445e-01 ; fa = 189   ; nMatches = 750   ; tp = 642   ; fp = 189   ; tn = 1     ; fn = 1     ; matched = 643   ; relevant = 831   ; nTrueTracks = 889   ; fa-norm = 1.890000e+02
roc threshold = 5.284800e-02 ; pd = 8.436445e-01 ; fa = 189   ; nMatches = 750   ; tp = 641   ; fp = 189   ; tn = 1     ; fn = 2     ; matched = 643   ; relevant = 830   ; nTrueTracks = 889   ; fa-norm = 1.890000e+02
roc threshold = 5.507550e-02 ; pd = 8.436445e-01 ; fa = 188   ; nMatches = 750   ; tp = 641   ; fp = 188   ; tn = 2     ; fn = 2     ; matched = 643   ; relevant = 829   ; nTrueTracks = 889   ; fa-norm = 1.880000e+02
roc threshold = 5.559690e-02 ; pd = 8.436445e-01 ; fa = 187   ; nMatches = 750   ; tp = 641   ; fp = 187   ; tn = 3     ; fn = 2     ; matched = 643   ; relevant = 828   ; nTrueTracks = 889   ; fa-norm = 1.870000e+02
roc threshold = 5.714940e-02 ; pd = 8.436445e-01 ; fa = 187   ; nMatches = 750   ; tp = 640   ; fp = 187   ; tn = 3     ; fn = 3     ; matched = 643   ; relevant = 827   ; nTrueTracks = 889   ; fa-norm = 1.870000e+02
roc threshold = 5.768220e-02 ; pd = 8.436445e-01 ; fa = 186   ; nMatches = 750   ; tp = 640   ; fp = 186   ; tn = 4     ; fn = 3     ; matched = 643   ; relevant = 826   ; nTrueTracks = 889   ; fa-norm = 1.860000e+02
roc threshold = 5.774160e-02 ; pd = 8.436445e-01 ; fa = 186   ; nMatches = 750   ; tp = 639   ; fp = 186   ; tn = 4     ; fn = 4     ; matched = 643   ; relevant = 825   ; nTrueTracks = 889   ; fa-norm = 1.860000e+02
roc threshold = 5.849750e-02 ; pd = 8.436445e-01 ; fa = 185   ; nMatches = 750   ; tp = 639   ; fp = 185   ; tn = 5     ; fn = 4     ; matched = 643   ; relevant = 824   ; nTrueTracks = 889   ; fa-norm = 1.850000e+02
roc threshold = 6.071980e-02 ; pd = 8.436445e-01 ; fa = 185   ; nMatches = 750   ; tp = 638   ; fp = 185   ; tn = 5     ; fn = 5     ; matched = 643   ; relevant = 823   ; nTrueTracks = 889   ; fa-norm = 1.850000e+02
roc threshold = 6.280270e-02 ; pd = 8.436445e-01 ; fa = 185   ; nMatches = 750   ; tp = 637   ; fp = 185   ; tn = 5     ; fn = 6     ; matched = 643   ; relevant = 822   ; nTrueTracks = 889   ; fa-norm = 1.850000e+02
roc threshold = 6.377870e-02 ; pd = 8.436445e-01 ; fa = 184   ; nMatches = 750   ; tp = 637   ; fp = 184   ; tn = 6     ; fn = 6     ; matched = 643   ; relevant = 821   ; nTrueTracks = 889   ; fa-norm = 1.840000e+02
roc threshold = 6.439080e-02 ; pd = 8.436445e-01 ; fa = 184   ; nMatches = 750   ; tp = 636   ; fp = 184   ; tn = 6     ; fn = 7     ; matched = 643   ; relevant = 820   ; nTrueTracks = 889   ; fa-norm = 1.840000e+02
roc threshold = 6.614550e-02 ; pd = 8.436445e-01 ; fa = 183   ; nMatches = 750   ; tp = 636   ; fp = 183   ; tn = 7     ; fn = 7     ; matched = 643   ; relevant = 819   ; nTrueTracks = 889   ; fa-norm = 1.830000e+02
roc threshold = 6.643680e-02 ; pd = 8.436445e-01 ; fa = 183   ; nMatches = 750   ; tp = 635   ; fp = 183   ; tn = 7     ; fn = 8     ; matched = 643   ; relevant = 818   ; nTrueTracks = 889   ; fa-norm = 1.830000e+02
roc threshold = 6.658040e-02 ; pd = 8.436445e-01 ; fa = 183   ; nMatches = 750   ; tp = 634   ; fp = 183   ; tn = 7     ; fn = 9     ; matched = 643   ; relevant = 817   ; nTrueTracks = 889   ; fa-norm = 1.830000e+02
roc threshold = 6.699780e-02 ; pd = 8.436445e-01 ; fa = 182   ; nMatches = 750   ; tp = 634   ; fp = 182   ; tn = 8     ; fn = 9     ; matched = 643   ; relevant = 816   ; nTrueTracks = 889   ; fa-norm = 1.820000e+02
roc threshold = 6.701650e-02 ; pd = 8.425197e-01 ; fa = 182   ; nMatches = 749   ; tp = 633   ; fp = 182   ; tn = 8     ; fn = 10    ; matched = 643   ; relevant = 815   ; nTrueTracks = 889   ; fa-norm = 1.820000e+02
roc threshold = 6.979380e-02 ; pd = 8.425197e-01 ; fa = 182   ; nMatches = 749   ; tp = 632   ; fp = 182   ; tn = 8     ; fn = 11    ; matched = 643   ; relevant = 814   ; nTrueTracks = 889   ; fa-norm = 1.820000e+02
roc threshold = 7.059350e-02 ; pd = 8.425197e-01 ; fa = 181   ; nMatches = 749   ; tp = 632   ; fp = 181   ; tn = 9     ; fn = 11    ; matched = 643   ; relevant = 813   ; nTrueTracks = 889   ; fa-norm = 1.810000e+02
roc threshold = 7.107330e-02 ; pd = 8.425197e-01 ; fa = 180   ; nMatches = 749   ; tp = 632   ; fp = 180   ; tn = 10    ; fn = 11    ; matched = 643   ; relevant = 812   ; nTrueTracks = 889   ; fa-norm = 1.800000e+02
roc threshold = 7.108680e-02 ; pd = 8.425197e-01 ; fa = 179   ; nMatches = 749   ; tp = 632   ; fp = 179   ; tn = 11    ; fn = 11    ; matched = 643   ; relevant = 811   ; nTrueTracks = 889   ; fa-norm = 1.790000e+02
roc threshold = 7.120460e-02 ; pd = 8.425197e-01 ; fa = 179   ; nMatches = 749   ; tp = 631   ; fp = 179   ; tn = 11    ; fn = 12    ; matched = 643   ; relevant = 810   ; nTrueTracks = 889   ; fa-norm = 1.790000e+02
