roc threshold = 1.412790e-02 ; pd = 9.611650e-01 ; fa = 0     ; nMatches = 99    ; tp = 82    ; fp = 0     ; tn = 0     ; fn = 0     ; matched = 82    ; relevant = 82    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 3.388130e-02 ; pd = 9.514563e-01 ; fa = 0     ; nMatches = 98    ; tp = 81    ; fp = 0     ; tn = 0     ; fn = 1     ; matched = 82    ; relevant = 81    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 4.082860e-02 ; pd = 9.514563e-01 ; fa = 0     ; nMatches = 98    ; tp = 80    ; fp = 0     ; tn = 0     ; fn = 2     ; matched = 82    ; relevant = 80    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 4.439850e-02 ; pd = 9.417476e-01 ; fa = 0     ; nMatches = 97    ; tp = 79    ; fp = 0     ; tn = 0     ; fn = 3     ; matched = 82    ; relevant = 79    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 4.633020e-01 ; pd = 9.417476e-01 ; fa = 0     ; nMatches = 97    ; tp = 78    ; fp = 0     ; tn = 0     ; fn = 4     ; matched = 82    ; relevant = 78    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 5.605210e-01 ; pd = 9.417476e-01 ; fa = 0     ; nMatches = 97    ; tp = 77    ; fp = 0     ; tn = 0     ; fn = 5     ; matched = 82    ; relevant = 77    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 6.642080e-01 ; pd = 9.417476e-01 ; fa = 0     ; nMatches = 97    ; tp = 76    ; fp = 0     ; tn = 0     ; fn = 6     ; matched = 82    ; relevant = 76    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 7.721450e-01 ; pd = 9.320388e-01 ; fa = 0     ; nMatches = 96    ; tp = 75    ; fp = 0     ; tn = 0     ; fn = 7     ; matched = 82    ; relevant = 75    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 7.817170e-01 ; pd = 9.320388e-01 ; fa = 0     ; nMatches = 96    ; tp = 74    ; fp = 0     ; tn = 0     ; fn = 8     ; matched = 82    ; relevant = 74    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 8.510090e-01 ; pd = 9.320388e-01 ; fa = 0     ; nMatches = 96    ; tp = 73    ; fp = 0     ; tn = 0     ; fn = 9     ; matched = 82    ; relevant = 73    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.637990e-01 ; pd = 9.126214e-01 ; fa = 0     ; nMatches = 94    ; tp = 72    ; fp = 0     ; tn = 0     ; fn = 10    ; matched = 82    ; relevant = 72    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.772160e-01 ; pd = 9.126214e-01 ; fa = 0     ; nMatches = 94    ; tp = 71    ; fp = 0     ; tn = 0     ; fn = 11    ; matched = 82    ; relevant = 71    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.868950e-01 ; pd = 9.126214e-01 ; fa = 0     ; nMatches = 94    ; tp = 70    ; fp = 0     ; tn = 0     ; fn = 12    ; matched = 82    ; relevant = 70    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.876190e-01 ; pd = 9.126214e-01 ; fa = 0     ; nMatches = 94    ; tp = 69    ; fp = 0     ; tn = 0     ; fn = 13    ; matched = 82    ; relevant = 69    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.917470e-01 ; pd = 9.126214e-01 ; fa = 0     ; nMatches = 94    ; tp = 68    ; fp = 0     ; tn = 0     ; fn = 14    ; matched = 82    ; relevant = 68    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.922810e-01 ; pd = 9.126214e-01 ; fa = 0     ; nMatches = 94    ; tp = 67    ; fp = 0     ; tn = 0     ; fn = 15    ; matched = 82    ; relevant = 67    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.937080e-01 ; pd = 9.126214e-01 ; fa = 0     ; nMatches = 94    ; tp = 66    ; fp = 0     ; tn = 0     ; fn = 16    ; matched = 82    ; relevant = 66    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.941830e-01 ; pd = 9.029126e-01 ; fa = 0     ; nMatches = 93    ; tp = 65    ; fp = 0     ; tn = 0     ; fn = 17    ; matched = 82    ; relevant = 65    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.957380e-01 ; pd = 9.029126e-01 ; fa = 0     ; nMatches = 93    ; tp = 64    ; fp = 0     ; tn = 0     ; fn = 18    ; matched = 82    ; relevant = 64    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.965550e-01 ; pd = 8.834951e-01 ; fa = 0     ; nMatches = 91    ; tp = 63    ; fp = 0     ; tn = 0     ; fn = 19    ; matched = 82    ; relevant = 63    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.982150e-01 ; pd = 8.834951e-01 ; fa = 0     ; nMatches = 91    ; tp = 62    ; fp = 0     ; tn = 0     ; fn = 20    ; matched = 82    ; relevant = 62    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.985870e-01 ; pd = 8.834951e-01 ; fa = 0     ; nMatches = 91    ; tp = 61    ; fp = 0     ; tn = 0     ; fn = 21    ; matched = 82    ; relevant = 61    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.986410e-01 ; pd = 8.834951e-01 ; fa = 0     ; nMatches = 91    ; tp = 60    ; fp = 0     ; tn = 0     ; fn = 22    ; matched = 82    ; relevant = 60    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.988020e-01 ; pd = 8.834951e-01 ; fa = 0     ; nMatches = 91    ; tp = 59    ; fp = 0     ; tn = 0     ; fn = 23    ; matched = 82    ; relevant = 59    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.988110e-01 ; pd = 8.834951e-01 ; fa = 0     ; nMatches = 91    ; tp = 58    ; fp = 0     ; tn = 0     ; fn = 24    ; matched = 82    ; relevant = 58    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.988710e-01 ; pd = 8.834951e-01 ; fa = 0     ; nMatches = 91    ; tp = 57    ; fp = 0     ; tn = 0     ; fn = 25    ; matched = 82    ; relevant = 57    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.989350e-01 ; pd = 8.640777e-01 ; fa = 0     ; nMatches = 89    ; tp = 56    ; fp = 0     ; tn = 0     ; fn = 26    ; matched = 82    ; relevant = 56    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.989750e-01 ; pd = 8.640777e-01 ; fa = 0     ; nMatches = 89    ; tp = 55    ; fp = 0     ; tn = 0     ; fn = 27    ; matched = 82    ; relevant = 55    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.990440e-01 ; pd = 8.640777e-01 ; fa = 0     ; nMatches = 89    ; tp = 54    ; fp = 0     ; tn = 0     ; fn = 28    ; matched = 82    ; relevant = 54    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.990730e-01 ; pd = 8.640777e-01 ; fa = 0     ; nMatches = 89    ; tp = 53    ; fp = 0     ; tn = 0     ; fn = 29    ; matched = 82    ; relevant = 53    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.991200e-01 ; pd = 8.640777e-01 ; fa = 0     ; nMatches = 89    ; tp = 52    ; fp = 0     ; tn = 0     ; fn = 30    ; matched = 82    ; relevant = 52    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.992450e-01 ; pd = 8.640777e-01 ; fa = 0     ; nMatches = 89    ; tp = 51    ; fp = 0     ; tn = 0     ; fn = 31    ; matched = 82    ; relevant = 51    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.992470e-01 ; pd = 8.543689e-01 ; fa = 0     ; nMatches = 88    ; tp = 50    ; fp = 0     ; tn = 0     ; fn = 32    ; matched = 82    ; relevant = 50    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.992540e-01 ; pd = 8.446602e-01 ; fa = 0     ; nMatches = 87    ; tp = 49    ; fp = 0     ; tn = 0     ; fn = 33    ; matched = 82    ; relevant = 49    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.993030e-01 ; pd = 8.446602e-01 ; fa = 0     ; nMatches = 87    ; tp = 48    ; fp = 0     ; tn = 0     ; fn = 34    ; matched = 82    ; relevant = 48    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.994000e-01 ; pd = 8.155340e-01 ; fa = 0     ; nMatches = 84    ; tp = 47    ; fp = 0     ; tn = 0     ; fn = 35    ; matched = 82    ; relevant = 47    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.995100e-01 ; pd = 8.155340e-01 ; fa = 0     ; nMatches = 84    ; tp = 46    ; fp = 0     ; tn = 0     ; fn = 36    ; matched = 82    ; relevant = 46    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.996320e-01 ; pd = 8.155340e-01 ; fa = 0     ; nMatches = 84    ; tp = 45    ; fp = 0     ; tn = 0     ; fn = 37    ; matched = 82    ; relevant = 45    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.996370e-01 ; pd = 8.058252e-01 ; fa = 0     ; nMatches = 83    ; tp = 44    ; fp = 0     ; tn = 0     ; fn = 38    ; matched = 82    ; relevant = 44    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.996640e-01 ; pd = 8.058252e-01 ; fa = 0     ; nMatches = 83    ; tp = 43    ; fp = 0     ; tn = 0     ; fn = 39    ; matched = 82    ; relevant = 43    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.998270e-01 ; pd = 8.058252e-01 ; fa = 0     ; nMatches = 83    ; tp = 42    ; fp = 0     ; tn = 0     ; fn = 40    ; matched = 82    ; relevant = 42    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
