roc threshold = 1.063180e-02 ; pd = 7.814961e-01 ; fa = 31    ; nMatches = 397   ; tp = 336   ; fp = 31    ; tn = 0     ; fn = 0     ; matched = 336   ; relevant = 367   ; nTrueTracks = 508   ; fa-norm = 3.100000e+01
roc threshold = 1.118340e-02 ; pd = 7.814961e-01 ; fa = 30    ; nMatches = 397   ; tp = 336   ; fp = 30    ; tn = 1     ; fn = 0     ; matched = 336   ; relevant = 366   ; nTrueTracks = 508   ; fa-norm = 3.000000e+01
roc threshold = 1.139670e-02 ; pd = 7.775591e-01 ; fa = 30    ; nMatches = 395   ; tp = 335   ; fp = 30    ; tn = 1     ; fn = 1     ; matched = 336   ; relevant = 365   ; nTrueTracks = 508   ; fa-norm = 3.000000e+01
roc threshold = 1.140610e-02 ; pd = 7.755906e-01 ; fa = 30    ; nMatches = 394   ; tp = 334   ; fp = 30    ; tn = 1     ; fn = 2     ; matched = 336   ; relevant = 364   ; nTrueTracks = 508   ; fa-norm = 3.000000e+01
roc threshold = 1.143110e-02 ; pd = 7.755906e-01 ; fa = 30    ; nMatches = 394   ; tp = 333   ; fp = 30    ; tn = 1     ; fn = 3     ; matched = 336   ; relevant = 363   ; nTrueTracks = 508   ; fa-norm = 3.000000e+01
roc threshold = 1.259340e-02 ; pd = 7.755906e-01 ; fa = 30    ; nMatches = 394   ; tp = 332   ; fp = 30    ; tn = 1     ; fn = 4     ; matched = 336   ; relevant = 362   ; nTrueTracks = 508   ; fa-norm = 3.000000e+01
roc threshold = 1.262930e-02 ; pd = 7.755906e-01 ; fa = 29    ; nMatches = 394   ; tp = 332   ; fp = 29    ; tn = 2     ; fn = 4     ; matched = 336   ; relevant = 361   ; nTrueTracks = 508   ; fa-norm = 2.900000e+01
roc threshold = 1.294800e-02 ; pd = 7.755906e-01 ; fa = 28    ; nMatches = 394   ; tp = 332   ; fp = 28    ; tn = 3     ; fn = 4     ; matched = 336   ; relevant = 360   ; nTrueTracks = 508   ; fa-norm = 2.800000e+01
roc threshold = 1.347580e-02 ; pd = 7.755906e-01 ; fa = 28    ; nMatches = 394   ; tp = 331   ; fp = 28    ; tn = 3     ; fn = 5     ; matched = 336   ; relevant = 359   ; nTrueTracks = 508   ; fa-norm = 2.800000e+01
roc threshold = 1.551030e-02 ; pd = 7.716535e-01 ; fa = 28    ; nMatches = 392   ; tp = 330   ; fp = 28    ; tn = 3     ; fn = 6     ; matched = 336   ; relevant = 358   ; nTrueTracks = 508   ; fa-norm = 2.800000e+01
roc threshold = 1.629240e-02 ; pd = 7.716535e-01 ; fa = 27    ; nMatches = 392   ; tp = 330   ; fp = 27    ; tn = 4     ; fn = 6     ; matched = 336   ; relevant = 357   ; nTrueTracks = 508   ; fa-norm = 2.700000e+01
roc threshold = 1.837900e-02 ; pd = 7.696850e-01 ; fa = 27    ; nMatches = 391   ; tp = 329   ; fp = 27    ; tn = 4     ; fn = 7     ; matched = 336   ; relevant = 356   ; nTrueTracks = 508   ; fa-norm = 2.700000e+01
roc threshold = 1.955510e-02 ; pd = 7.696850e-01 ; fa = 26    ; nMatches = 391   ; tp = 329   ; fp = 26    ; tn = 5     ; fn = 7     ; matched = 336   ; relevant = 355   ; nTrueTracks = 508   ; fa-norm = 2.600000e+01
roc threshold = 1.957180e-02 ; pd = 7.696850e-01 ; fa = 25    ; nMatches = 391   ; tp = 329   ; fp = 25    ; tn = 6     ; fn = 7     ; matched = 336   ; relevant = 354   ; nTrueTracks = 508   ; fa-norm = 2.500000e+01
roc threshold = 2.207780e-02 ; pd = 7.696850e-01 ; fa = 24    ; nMatches = 391   ; tp = 329   ; fp = 24    ; tn = 7     ; fn = 7     ; matched = 336   ; relevant = 353   ; nTrueTracks = 508   ; fa-norm = 2.400000e+01
roc threshold = 2.272350e-02 ; pd = 7.696850e-01 ; fa = 23    ; nMatches = 391   ; tp = 329   ; fp = 23    ; tn = 8     ; fn = 7     ; matched = 336   ; relevant = 352   ; nTrueTracks = 508   ; fa-norm = 2.300000e+01
roc threshold = 2.335030e-02 ; pd = 7.696850e-01 ; fa = 23    ; nMatches = 391   ; tp = 328   ; fp = 23    ; tn = 8     ; fn = 8     ; matched = 336   ; relevant = 351   ; nTrueTracks = 508   ; fa-norm = 2.300000e+01
roc threshold = 2.693660e-02 ; pd = 7.696850e-01 ; fa = 23    ; nMatches = 391   ; tp = 327   ; fp = 23    ; tn = 8     ; fn = 9     ; matched = 336   ; relevant = 350   ; nTrueTracks = 508   ; fa-norm = 2.300000e+01
roc threshold = 2.807510e-02 ; pd = 7.696850e-01 ; fa = 22    ; nMatches = 391   ; tp = 327   ; fp = 22    ; tn = 9     ; fn = 9     ; matched = 336   ; relevant = 349   ; nTrueTracks = 508   ; fa-norm = 2.200000e+01
